,0. Agartala (IXA)  ,1. Agatti (AGX)  ,2. Agra (AGR)  ,3. Ahmedabad (AMD)  ,4. Aizawl (AJL)  ,5. Amritsar (ATQ)  ,6. Aurangabad (IXU)  ,7. Ayodhya (AYJ)  ,8. Bagdogra (IXB)  ,9. Bareilly (BEK)  ,10. Belagavi (IXG)  ,11. Bengaluru (BLR)  ,12. Bhopal (BHO)  ,13. Bhubaneswar (BBI)  ,14. Chandigarh (IXC)  ,15. Chennai (MAA)  ,16. Coimbatore (CJB)  ,17. Darbhanga (DBR)  ,18. Dehradun (DED)  ,19. Delhi (DEL)  ,20. Deoghar (DGH)  ,21. Dharamshala (DHM)  ,22. Dibrugarh (DIB)  ,23. Dimapur (DMU)  ,24. Diu (DIU)  ,25. Durgapur (RDP) NEW  ,26. Gaya (GAY)  ,Goa (GOI)  ,28. Gondia (GDB)  ,29. Gorakhpur (GOP)  ,30. Guwahati (GAU)  ,31. Gwalior (GWL)  ,32. Hirasar (HSR)  ,33. Hubli (HBX)  ,34. Hyderabad (HYD)  ,35. Imphal (IMF)  ,36. Indore (IDR)  ,37. Itanagar (HGI)  ,38. Jabalpur (JLR)  ,39. Jagdalpur (JGB)  ,40. Jaipur (JAI)  ,41. Jaisalmer (JSA)  ,42. Jammu (IXJ)  ,43. Jharsuguda (JRG)  ,44. Jodhpur (JDH)  ,45. Jorhat (JRH)  ,46. Kadapa (CDP)  ,47. Kannur (CNN) NEW  ,48. Kanpur (KNU)  ,49. Khajuraho (HJR)  ,50. Kochi (COK)  ,51. Kolhapur (KLH)  ,52. Kolkata (CCU)  ,53. Kozhikode (CCJ)  ,54. Kurnool (KJB)  ,55. Leh (IXL)  ,56. Lucknow (LKO)  ,57. Madurai (IXM)  ,58. Mangaluru (IXE)  ,59. Mumbai (BOM)  ,60. Mysuru (MYQ)  ,61. Nagpur (NAG)  ,62. Nashik (ISK)  ,63. North Goa (GOX) NEW  ,64. Pantnagar (PGH)  ,65. Patna (PAT)  ,66. Port Blair (IXZ)  ,67. Prayagraj (IXD)  ,68. Pune (PNQ)  ,69. Raipur (RPR)  ,70. Rajahmundry (RJA)  ,71. Rajkot (RAJ)  ,72. Ranchi (IXR)  ,73. Salem (SXV)  ,74. Shillong (SHL)  ,75. Shirdi (SAG)  ,76. Shivamogga (RQY)  ,77. Silchar (IXS)  ,78. Srinagar (SXR)  ,79. Surat (STV)  ,80. Thiruvananthapuram (TRV)  ,81. Tiruchirappalli (TRZ)  ,82. Tirupati (TIR)  ,83. Tuticorin (TCR)  ,84. Udaipur (UDR)  ,85. Vadodara (BDQ)  ,86. Varanasi (VNS)  ,87. Vijayawada (VGA)  ,88. Visakhapatnam (VTZ)
0. Agartala (IXA)  ,0,,,,,,,,,,,178,,,,,,,,160,,,,,,,,,,,58,,,,170,55,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Agatti (AGX)  ,,0,,,,,,,,,,120,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Agra (AGR)  ,,,0,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,75,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Ahmedabad (AMD)  ,,,,0,,115,105,115,,,,145,,135,105,140,,,100,100,,,,,80,,,100,,,,,55,,100,,,,,,95,,125,,80,,,,,,85,,145,,,,,,,85,,,,,,130,,,90,105,,,130,,,,,,,,,,,,,,110,,
4. Aizawl (AJL)  ,,,,,0,,,,,,,,,,,,,,,160,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Amritsar (ATQ)  ,,,,118,,0,,,,,,195,,,,,,,,75,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,150,,,,95,,,155,,,,,,,,,135,,,,,,,,,,48,,,,,,,,,,
6. Aurangabad (IXU)  ,,,,115,,,0,,,,,85,,,,,,,,,,,,,,,,105,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,55,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Ayodhya (AYJ)  ,,,,120,,,,0,,,,,,,,,,,,90,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Bagdogra (IXB)  ,,,,,,,,,0,,,,,,,155,,,,135,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Bareilly (BEK)  ,,,,,,,,,,0,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Belagavi (IXG)  ,,,,,,,,,,,0,85,,,,,,,,145,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
